,date,position
52,2016-06-06,"['RM607', 'RM608', 'RM609', 'RS607', 'RM611', 'RS609', 'RM701', 'RS611', 'PM701', 'RS608']"
53,2016-06-07,"['RM607', 'RM608', 'RM609', 'RS607', 'RS609', 'RM611', 'RS611', 'PM701', 'RS608', 'FG611']"
54,2016-06-08,"['CF607', 'CF609', 'RM607', 'CF703', 'RM608', 'CF611', 'RM609', 'CF701', 'RS609', 'RM611']"
55,2016-06-13,"['CF607', 'CF609', 'RM607', 'CF703', 'CF611', 'CF701', 'RM608', 'RM609', 'RM611', 'RS609']"
56,2016-06-14,"['CF607', 'CF609', 'RM607', 'CF703', 'CF611', 'CF701', 'RM608', 'RM609', 'RM611', 'RM701']"
57,2016-06-15,"['CF609', 'RM607', 'CF611', 'CF703', 'CF701', 'RM608', 'RM609', 'RM611', 'RM701', 'RM703']"
58,2016-06-16,"['RM607', 'RM608', 'RM609', 'RM611', 'RM701', 'RM703', 'SR707', 'RS609', 'RS611', 'RS608']"
59,2016-06-17,"['RM609', 'RM611', 'RM701', 'CF701', 'RM703', 'CF703', 'SM701', 'SR701', 'SR703', 'SM704']"
60,2016-06-20,"['CF611', 'CF701', 'SM701', 'SR611', 'SM704', 'SM703', 'SM702', 'SR607', 'SR609', 'RS608']"
61,2016-06-21,"['CF611', 'CF701', 'SR701', 'RS607', 'SR703', 'SM701', 'SR607', 'SR611', 'SR609', 'SR707']"
62,2016-06-22,"['CF701', 'CF611', 'CF703', 'RM607', 'RM608', 'RM609', 'SR701', 'SR703', 'SR611', 'SR607']"
63,2016-06-23,"['CF701', 'CF611', 'SR703', 'SR611', 'SR707', 'OI609', 'OI703', 'RS609', 'SM701', 'OI701']"
64,2016-06-24,"['CF701', 'CF611', 'CF703', 'CF609', 'RM609', 'RS609', 'OI609', 'TA607', 'TA608', 'OI703']"
65,2016-06-27,"['CF701', 'CF611', 'CF703', 'CF609', 'CF607', 'RS609', 'TA607', 'SF702', 'SF703', 'SF704']"
66,2016-06-28,"['CF701', 'CF611', 'CF703', 'CF609', 'CF607', 'TA607', 'SF702', 'SF703', 'SF704', 'RS609']"
67,2016-06-29,"['CF701', 'CF611', 'CF703', 'CF609', 'CF607', 'SR609', 'SR701', 'SR607', 'SR611', 'SR703']"
68,2016-06-30,"['CF701', 'CF611', 'CF703', 'CF609', 'CF607', 'SR607', 'SR609', 'SF702', 'SF704', 'SF703']"
69,2016-07-01,"['CF701', 'CF611', 'CF703', 'CF609', 'CF607', 'SF702', 'SF704', 'SF703', 'SR607', 'SR609']"
70,2016-07-04,"['CF701', 'CF703', 'CF611', 'CF609', 'CF607', 'SF704', 'SF703', 'SF702', 'SR607', 'SR609']"
71,2016-07-05,"['CF701', 'CF703', 'CF611', 'CF609', 'CF607', 'SF702', 'SF704', 'SF703', 'SR607', 'SR609']"
72,2016-07-06,"['CF701', 'CF703', 'CF705', 'CF611', 'CF609', 'CF607', 'SR607', 'SR711', 'SR609', 'SR611']"
73,2016-07-07,"['SR709', 'SR703', 'SR705', 'SR707', 'RS608', 'JR703', 'FG607', 'RI705', 'FG608', 'FG705']"
74,2016-07-08,"['CF611', 'CF609', 'CF607', 'JR703', 'RI705', 'SM705', 'JR609']"
75,2016-07-11,"['SM705', 'LR609']"
76,2016-07-12,"['SF703', 'JR703', 'RI705', 'SM705', 'JR609', 'LR609', 'LR701', 'LR703', 'LR705', 'LR611']"
77,2016-07-13,"['CF701', 'CF703', 'CF705', 'CF611', 'CF609', 'CF607', 'SF703', 'SR707', 'SR705', 'SR709']"
78,2016-07-14,"['CF701', 'CF703', 'CF705', 'CF611', 'CF609', 'CF607', 'SR707', 'SR705', 'SR703', 'SR709']"
79,2016-07-15,"['CF701', 'CF705', 'CF703', 'CF611', 'CF609', 'SR707', 'SR705', 'SR703', 'SR709', 'JR703']"
80,2016-07-18,"['CF701', 'CF705', 'CF703', 'CF611', 'CF609', 'SR707', 'SR705', 'SR709', 'SR703', 'SR701']"
81,2016-07-19,"['CF701', 'CF611', 'CF703', 'CF705', 'CF609', 'OI611', 'RI705', 'OI701', 'OI703', 'OI705']"
