,date,position
207,2017-01-23,"['CF709', 'CF707', 'CF705', 'CF703', 'SR703', 'SR709', 'SR705', 'SR801', 'CF711', 'ZC702']"
208,2017-01-24,"['CF709', 'CF707', 'CF705', 'CF703', 'CF711', 'SR709', 'SR707', 'SR705', 'TA708', 'TA709']"
209,2017-01-25,"['CF709', 'CF707', 'CF705', 'CF703', 'CF711', 'SR709', 'TA708', 'SR705', 'SR703', 'SR707']"
210,2017-01-26,"['CF709', 'CF707', 'CF705', 'CF703', 'CF711', 'TA708', 'TA709', 'SR709', 'TA707', 'SR705']"
211,2017-02-03,"['CF709', 'CF707', 'CF705', 'CF711', 'CF703', 'TA708', 'TA709', 'TA707', 'TA710', 'TA705']"
212,2017-02-06,"['CF709', 'CF711', 'CF705', 'CF707', 'CF703', 'TA708', 'TA709', 'TA710', 'TA707', 'TA704']"
213,2017-02-07,"['CF709', 'CF707', 'CF711', 'CF705', 'CF703', 'TA708', 'TA709', 'TA710', 'TA707', 'TA704']"
214,2017-02-08,"['CF709', 'CF705', 'CF707', 'CF711', 'CF703', 'TA708', 'TA709', 'TA704', 'TA707', 'TA703']"
215,2017-02-09,"['CF709', 'CF711', 'CF705', 'TA708', 'TA704', 'TA709', 'TA710', 'TA703', 'TA707', 'TA705']"
216,2017-02-10,"['CF711', 'TA708', 'TA710', 'TA709', 'TA707', 'TA705', 'TA706', 'TA711', 'MA709', 'SF710']"
217,2017-02-13,"['CF711', 'SF710', 'MA707', 'MA708', 'MA710', 'SF712', 'MA711', 'RM709', 'RM707', 'RM705']"
218,2017-02-14,"['CF709', 'CF711', 'CF705', 'CF707', 'CF703', 'TA704', 'SF710', 'TA710', 'TA705', 'TA707']"
219,2017-02-15,"['CF709', 'CF711', 'CF705', 'CF707', 'CF703', 'TA706', 'TA704', 'TA703', 'TA707', 'TA705']"
220,2017-02-16,"['SF710', 'MA704', 'MA705', 'MA707', 'MA709', 'SF712', 'MA708', 'MA706', 'MA710', 'MA711']"
221,2017-02-17,"['SF710', 'SF712', 'MA705', 'MA704', 'MA707', 'MA709', 'MA706', 'LR705', 'LR711', 'MA712']"
222,2017-02-20,"['SF710', 'SF712', 'MA706', 'MA707', 'LR705', 'LR711', 'LR707', 'SF709', 'LR703', 'SF711']"
223,2017-02-21,"['SF710', 'SF712', 'MA707', 'LR705', 'LR711', 'LR707', 'SF709', 'LR703', 'SF711', 'FG710']"
224,2017-02-22,"['SF710', 'SF712', 'SF709', 'LR707', 'LR711', 'LR703', 'SF711', 'FG709', 'FG712', 'FG710']"
225,2017-02-23,"['SF710', 'SF712', 'SF709', 'LR707', 'SF711', 'LR711', 'LR703', 'LR709', 'RS711', 'FG711']"
226,2017-02-24,"['SF710', 'SF712', 'SF709', 'SF711', 'LR707', 'LR703', 'RS711', 'LR709', 'FG708', 'WH707']"
227,2017-02-27,"['SF710', 'SF712', 'SF709', 'SF711', 'SF705', 'SF708', 'WH707', 'SF703', 'WH703', 'WH705']"
228,2017-02-28,"['SF710', 'SF712', 'SF709', 'SF711', 'MA703', 'SF705', 'SF703', 'SF708', 'SF704', 'FG706']"
229,2017-03-01,"['SF710', 'SF712', 'SF709', 'SF711', 'MA703', 'SF705', 'SF708', 'WH703', 'WH705', 'SF707']"
230,2017-03-02,"['SF710', 'SF712', 'MA703', 'SF709', 'SF711', 'SF705', 'SF708', 'WH705', 'WH703', 'SF707']"
231,2017-03-03,"['SF712', 'MA703', 'SF711', 'SF705', 'SF708', 'SF707', 'WH703', 'WH705', 'WH707', 'RI707']"
232,2017-03-06,"['SF712', 'MA703', 'SF709', 'SF711', 'SF705', 'SF708', 'SF707', 'WH705', 'WH703', 'RI707']"
233,2017-03-07,"['SF712', 'MA703', 'SF711', 'SF709', 'SF708', 'SF705', 'SF707', 'RI707', 'SF703', 'RI703']"
234,2017-03-08,"['SF712', 'SF711', 'SF709', 'SF708', 'SF705', 'SF707', 'RI707', 'SF703', 'SF704', 'RI703']"
235,2017-03-09,"['SF710', 'SF712', 'SF711', 'SF709', 'SF708', 'SF707', 'SF705', 'SF703', 'SF704', 'SF706']"
236,2017-03-10,"['SF710', 'SF712', 'SF711', 'SF709', 'SF705', 'SF703', 'SF704', 'SF706', 'WH707', 'ZC707']"
237,2017-03-13,"['SF801', 'SF708', 'SF707', 'SF705', 'SF703', 'SF704', 'SF706', 'WH707', 'ZC712', 'RS707']"
238,2017-03-14,"['SF705', 'SF706', 'WH707', 'ZC705', 'ZC704', 'ZC706', 'RS707', 'SM712', 'SM709', 'SM711']"
239,2017-03-15,"['SF708', 'SF707', 'SF705', 'SF706', 'RI707', 'SF704', 'RI705', 'RI711', 'ZC705', 'ZC704']"
240,2017-03-16,"['SF710', 'SF712', 'SF707', 'SF708', 'SF711', 'SF705', 'SF709', 'SF706', 'SF704', 'RI707']"
241,2017-03-17,"['SF710', 'SF707', 'SF708', 'SF712', 'SF711', 'SM704', 'SF705', 'SM706', 'SM707', 'SM708']"
242,2017-03-20,"['SM704', 'SM706', 'SM707', 'SM708', 'SM705', 'SF707', 'SF710', 'SF708', 'SF712', 'SF705']"
243,2017-03-21,"['SM704', 'SM707', 'SM706', 'SM708', 'SM705', 'SF707', 'SF708', 'SF705', 'SF710', 'SF712']"
244,2017-03-22,"['SF705', 'SF707', 'SF708', 'SF706', 'SF710', 'SF712', 'SM711', 'SF711', 'SF704', 'SF709']"
245,2017-03-23,"['SF705', 'SF708', 'SF707', 'SF706', 'SF704', 'ZC704', 'RM707']"
246,2017-03-24,['JR705']
247,2017-03-27,"['JR705', 'JR709', 'JR707']"
248,2017-03-28,"['RS707', 'JR711', 'JR705', 'JR709', 'JR707']"
249,2017-03-29,"['SM704', 'SM705', 'RS707', 'JR711', 'JR705', 'FG705', 'FG706', 'FG710', 'JR709', 'JR707']"
250,2017-03-30,"['SM704', 'SM705', 'SM711', 'SM710', 'SM712', 'SM709', 'JR711', 'JR705', 'FG705', 'JR707']"
251,2017-03-31,"['SM704', 'SM705', 'SM711', 'SM710', 'SM712', 'SM709', 'ZC709', 'JR711', 'JR705', 'FG705']"
252,2017-04-05,"['SM704', 'SM705', 'SF704', 'ZC709', 'JR711', 'JR705', 'JR707', 'FG705', 'FG706', 'FG710']"
253,2017-04-06,"['SF704', 'ZC709', 'FG705', 'FG706', 'FG710', 'FG704', 'FG708', 'FG707', 'FG711', 'FG709']"
254,2017-04-07,"['SF704', 'ZC704', 'ZC712', 'ZC709', 'ZC708', 'FG705', 'PM705', 'PM707', 'PM709', 'FG704']"
255,2017-04-10,"['ZC704', 'ZC712', 'FG705', 'FG704', 'FG706', 'WH711', 'PM705', 'PM707', 'PM709', 'PM801']"
256,2017-04-11,"['ZC712', 'FG704', 'FG706', 'FG710', 'WH711', 'PM705', 'PM707', 'PM709', 'PM711', 'PM801']"
257,2017-04-12,"['WH711', 'PM705', 'PM707', 'PM709', 'PM711', 'PM801', 'RI801', 'TA802', 'TA801', 'TA710']"
258,2017-04-13,"['WH711', 'WH709', 'RI801', 'RI705', 'RM705', 'CF801', 'CF711', 'CF707', 'CF709', 'CF705']"
259,2017-04-14,"['WH711', 'WH705', 'WH709', 'RI801', 'RM705', 'RI705', 'RM707', 'RI707', 'RM711', 'RM709']"
260,2017-04-17,"['FG705', 'WH711', 'WH705', 'WH709', 'RM705', 'WH801', 'RI801', 'RM707', 'RI705', 'RI707']"
261,2017-04-18,"['FG705', 'FG706', 'FG708', 'WH711', 'ZC802', 'RM705', 'WH705', 'WH709', 'RM707', 'WH801']"
262,2017-04-19,"['FG705', 'FG706', 'WH711', 'FG708', 'RM705', 'RM707', 'FG711', 'RM709', 'RM708', 'RM711']"
263,2017-04-20,"['FG705', 'RM705', 'CF707', 'FG707', 'FG710', 'RM707', 'CF705', 'FG711', 'RM709', 'CF709']"
264,2017-04-21,"['CF707', 'CF705', 'CF709', 'RM705', 'FG705', 'WH711', 'FG706', 'RM707', 'CF711', 'CF801']"
265,2017-04-24,"['CF707', 'CF705', 'CF709', 'CF711', 'CF801', 'RM705', 'WH711', 'RM707', 'FG705', 'FG706']"
266,2017-04-25,"['CF707', 'CF705', 'CF709', 'CF801', 'RM705', 'RM707', 'WH711', 'RM709', 'RM708', 'RI801']"
267,2017-04-26,"['RM705', 'RM707', 'RM709', 'RM708', 'WH711', 'RM711', 'RI801', 'RI707', 'FG708', 'RM801']"
268,2017-04-27,"['CF705', 'CF707', 'RM707', 'WH711', 'SF708', 'SF706', 'OI711', 'OI709', 'OI801', 'OI707']"
269,2017-04-28,"['CF705', 'CF709', 'CF707', 'CF711', 'CF801', 'FG802', 'SF707', 'SF708', 'OI711', 'SF706']"
270,2017-05-02,"['RI707', 'FG707', 'RI705', 'FG710', 'FG709', 'FG711', 'FG801', 'FG802', 'RI709', 'RI711']"
271,2017-05-03,"['CF707', 'RM708', 'RM709', 'RM711', 'RM801', 'SR709', 'RI707', 'FG707', 'RI705', 'SR707']"
272,2017-05-04,"['CF705', 'CF709', 'CF707', 'CF711', 'CF801', 'RM708', 'RM705', 'RM709', 'RM707', 'RM711']"
273,2017-05-05,"['CF705', 'CF709', 'CF707', 'CF711', 'CF801', 'SF707', 'SF708', 'RM708', 'CF803', 'RM709']"
274,2017-05-08,"['CF711', 'SF707', 'SF708', 'RM708', 'RM709', 'RM707', 'RM711', 'RM801', 'RM803', 'OI801']"
275,2017-05-09,"['SF707', 'OI709', 'SF711', 'SM709', 'OI707', 'OI711', 'OI801', 'SM712', 'SM801', 'ZC706']"
276,2017-05-10,"['SM803', 'SM709', 'SF711', 'OI709', 'OI707', 'OI711', 'OI801', 'ZC706', 'ZC707', 'OI803']"
277,2017-05-11,"['SM709', 'SM706', 'SM803', 'SF711', 'SM705', 'OI801', 'ZC706', 'ZC707', 'OI803', 'OI705']"
278,2017-05-12,"['SM706', 'SM705', 'SF711', 'OI711', 'JR705', 'JR707', 'JR709', 'JR801', 'OI803', 'SM707']"
279,2017-05-15,"['SM712', 'SM706', 'SM705', 'OI711', 'SM707', 'OI801', 'JR705', 'JR707', 'JR709', 'JR801']"
280,2017-05-16,"['SM712', 'SM709', 'SM706', 'SM801', 'SF707', 'SM707', 'SF708', 'OI709', 'OI711', 'OI801']"
281,2017-05-17,"['SM712', 'SM709', 'SM707', 'SM801', 'SF707', 'SF708', 'OI709', 'OI711', 'OI801', 'OI707']"
282,2017-05-18,"['SM707', 'SM709', 'SM712', 'SM706', 'SM801', 'SF707', 'SF708', 'SM710', 'OI709', 'OI711']"
283,2017-05-19,"['SM707', 'SM709', 'SM706', 'SM801', 'SM710', 'SF707', 'OI711', 'OI709', 'OI801', 'OI707']"
284,2017-05-22,"['SM707', 'SM709', 'SM706', 'SM710', 'SM801', 'SM711', 'OI711', 'OI707', 'OI803', 'JR707']"
285,2017-05-23,"['SM707', 'SM709', 'SM710', 'SM706', 'SM801', 'SM711', 'OI711', 'OI707', 'OI803', 'SF706']"
286,2017-05-24,"['SM707', 'SM710', 'SM709', 'SM706', 'SM712', 'SM801', 'SM711', 'SF711', 'OI707', 'SF709']"
287,2017-05-25,"['SM707', 'SM710', 'SM709', 'SM706', 'SM711', 'SF709', 'SF710', 'FG709', 'FG710', 'FG706']"
288,2017-05-26,"['SM710', 'SF707', 'SF710', 'SF709', 'MA801', 'FG710', 'MA802', 'FG709', 'FG711', 'FG706']"
289,2017-05-31,"['SM710', 'SF803', 'MA802', 'SF712', 'FG710', 'FG711', 'FG706', 'FG712', 'FG707', 'FG708']"
290,2017-06-01,"['SF707', 'SF706', 'MA706', 'FG706', 'FG707', 'FG708', 'MA710', 'ZC708', 'ZC802', 'RS707']"
291,2017-06-02,"['SF707', 'SF706', 'FG707', 'ZC801', 'ZC708', 'RI709', 'RI707', 'RS709', 'ZC804', 'ZC802']"
292,2017-06-05,"['SF803', 'SF802', 'SF801', 'SR803', 'FG707', 'RS707', 'ZC801', 'ZC708', 'RS709', 'ZC804']"
293,2017-06-06,"['SF709', 'SF710', 'SF803', 'SF802', 'SF712', 'SF801', 'FG712', 'FG711', 'RS707', 'WH709']"
294,2017-06-07,"['SF709', 'SF803', 'SF802', 'SF712', 'SF801', 'MA706', 'FG706', 'RS707', 'MA801', 'MA707']"
295,2017-06-08,"['SF803', 'SF709', 'SF802', 'SF712', 'MA706', 'SF801', 'RS707', 'SM802', 'SM708', 'FG706']"
296,2017-06-09,"['SF804', 'SF803', 'SF712', 'SF709', 'SF706', 'SF801', 'MA706', 'RS707', 'SM802', 'SM708']"
297,2017-06-12,"['MA706', 'RS707', 'RS709', 'SM708', 'FG706', 'FG707', 'SM802', 'FG708', 'FG712', 'FG711']"
298,2017-06-13,"['RS707', 'MA706', 'RS709', 'FG706', 'FG707', 'FG708', 'FG712', 'FG711', 'WH709', 'MA709']"
299,2017-06-14,"['SF804', 'SF803', 'SF802', 'MA706', 'RS709', 'ZC804', 'ZC801', 'ZC802', 'ZC709', 'ZC710']"
300,2017-06-15,"['SF803', 'SF804', 'RS707', 'ZC804', 'ZC801', 'ZC709', 'WH801', 'ZC710', 'ZC802', 'ZC712']"
301,2017-06-16,"['SF804', 'SF803', 'RS707', 'ZC804', 'ZC801', 'ZC709', 'ZC710', 'ZC802', 'ZC707', 'ZC712']"
302,2017-06-19,"['RS707', 'SF804', 'SF803', 'ZC804', 'ZC801', 'ZC709', 'ZC707', 'ZC710', 'ZC802', 'ZC712']"
303,2017-06-20,"['RS707', 'FG707', 'ZC707', 'ZC801', 'ZC709', 'ZC804', 'ZC710', 'ZC802', 'ZC711', 'ZC712']"
304,2017-06-21,"['RS707', 'ZC707', 'ZC709', 'ZC801', 'ZC710', 'ZC804', 'ZC711', 'ZC712', 'ZC708', 'ZC802']"
305,2017-06-22,"['ZC707', 'ZC709', 'ZC801', 'ZC710', 'ZC804', 'ZC711', 'ZC708', 'ZC712', 'ZC802', 'ZC803']"
306,2017-06-23,"['ZC707', 'ZC709', 'ZC801', 'ZC711', 'ZC804', 'ZC708', 'ZC802', 'ZC712', 'SM804', 'SF711']"
307,2017-06-26,"['SF708', 'ZC708', 'ZC802', 'ZC712', 'SM804', 'SF711', 'OI707', 'RM707', 'CF709']"
308,2017-06-27,"['SF708', 'SM804', 'ZC708', 'ZC802', 'ZC712', 'WH707', 'RI801', 'RM803', 'TA710', 'RM707']"
309,2017-06-28,"['OI709', 'OI801', 'SF708', 'SM804', 'OI711', 'ZC708', 'ZC804', 'ZC802', 'ZC712', 'SF711']"
310,2017-06-29,"['OI709', 'SF708', 'OI801', 'OI707', 'SM804', 'OI711', 'ZC709', 'FG802', 'ZC710', 'FG804']"
311,2017-06-30,"['OI709', 'OI707', 'OI801', 'OI803', 'SM711', 'SF708', 'SM804', 'OI711', 'FG802', 'FG804']"
312,2017-07-03,"['OI707', 'OI709', 'OI801', 'OI803', 'SM804', 'SM711', 'OI711', 'SF708', 'SF709', 'FG802']"
313,2017-07-04,"['OI707', 'OI709', 'SM804', 'OI803', 'SM711', 'OI801', 'OI711', 'SF708', 'SF709', 'RM801']"
314,2017-07-05,"['OI707', 'SM804', 'OI803', 'SF708', 'OI711', 'OI801', 'SF709', 'RM801', 'RM803', 'SF801']"
315,2017-07-06,"['OI707', 'SM711', 'SF708', 'SM804', 'OI803', 'OI711', 'SF709', 'RM801', 'SF801', 'RM803']"
316,2017-07-07,"['OI707', 'SM711', 'SF708', 'RS709', 'OI709', 'OI803', 'SF709', 'OI801', 'SF707', 'OI805']"
317,2017-07-10,"['OI707', 'SM711', 'RS707', 'RS709', 'SF708', 'SF707', 'OI801', 'SF709', 'OI803', 'OI805']"
318,2017-07-11,"['OI707', 'SM711', 'RS709', 'RS707', 'OI801', 'SM803', 'OI711', 'SM707', 'SF804', 'SM708']"
319,2017-07-12,"['OI707', 'RS709', 'SM711', 'RS707', 'SM707', 'SM708', 'SM803', 'SM709', 'SM710', 'SF707']"
320,2017-07-13,"['OI707', 'RS709', 'SM711', 'SM707', 'SM708', 'RS707', 'SM709', 'SM710', 'SM803', 'SM801']"
321,2017-07-14,"['OI707', 'RS709', 'SM711', 'SM707', 'SM708', 'SM710', 'SM709', 'SM803', 'SM801', 'RS707']"
322,2017-07-17,"['SM803', 'SM801', 'SM802', 'TA709', 'TA708', 'SM805', 'SF708', 'SF709', 'TA710', 'TA711']"
323,2017-07-18,"['SM708', 'SM710', 'SM709', 'SM803', 'SM711', 'SM801', 'SM802', 'TA708', 'TA709', 'SM712']"
324,2017-07-19,"['SM708', 'SM709', 'SM710', 'SM803', 'SM801', 'SM711', 'SM802', 'SM712', 'TA708', 'TA709']"
325,2017-07-20,"['SM708', 'SM709', 'SM710', 'SM803', 'SM801', 'SM711', 'SM712', 'TA708', 'SM802', 'TA709']"
326,2017-07-21,"['SM708', 'SM710', 'SM709', 'SM803', 'SM712', 'SM801', 'SM802', 'SM805', 'TA710', 'SF708']"
327,2017-07-24,"['SF708', 'SF709', 'TA711', 'MA708', 'SF804', 'OI801', 'OI709', 'SF801', 'OI711', 'OI805']"
328,2017-07-25,"['SM708', 'SM709', 'SM710', 'SM803', 'SM801', 'SM802', 'SM805', 'SF708', 'SF709', 'SF804']"
329,2017-07-26,"['SM708', 'SM710', 'SM709', 'SM803', 'SM801', 'SM802', 'SM805', 'SF708', 'SF709', 'SF804']"
330,2017-07-27,"['SM708', 'SM710', 'SM709', 'SM803', 'SM801', 'SM802', 'SM805', 'SF708', 'SF709', 'SF804']"
331,2017-07-28,"['SM708', 'SM710', 'SM709', 'SM803', 'SM801', 'SM802', 'SF708', 'SF709', 'SM805', 'SF804']"
332,2017-07-31,"['SM803', 'SM801', 'SM802', 'SF708', 'SF709', 'SM805', 'SF804', 'SF801', 'MA708', 'SF712']"
333,2017-08-01,"['SM708', 'SM709', 'SM710', 'SM803', 'SM801', 'SF708', 'SF709', 'SM802', 'SM805', 'SF804']"
334,2017-08-02,"['SM803', 'SF708', 'SF709', 'SM801', 'SM802', 'SF804', 'SM805', 'SF806', 'SM804', 'SF801']"
335,2017-08-03,"['SF708', 'SF709', 'SF804', 'SM803', 'SF806', 'SM801', 'SM802', 'SM804', 'SM805', 'SF712']"
336,2017-08-04,"['SF708', 'SF709', 'SF806', 'SM804', 'SF712', 'SF711', 'SF803', 'SM805', 'SF801', 'SF802']"
337,2017-08-07,"['SM804', 'SF806', 'SF712', 'SF708', 'SF709', 'SF711', 'SF803', 'SF802', 'SF801', 'SF805']"
338,2017-08-08,"['SM804', 'SF712', 'SF711', 'SF806', 'SF803', 'SF708', 'SF802', 'SF709', 'SF801', 'SF805']"
339,2017-08-09,"['SM804', 'SF712', 'SF711', 'SF806', 'SF802', 'SF708', 'SF709', 'SM806', 'SF801', 'SF805']"
340,2017-08-10,"['SM804', 'SF712', 'SF711', 'SF806', 'SF802', 'SF708', 'SM806', 'SF709', 'SF805', 'SF801']"
341,2017-08-11,"['SM804', 'SF712', 'SF711', 'SF806', 'SF802', 'SM806', 'SF708', 'SM803', 'SF709', 'SF803']"
342,2017-08-14,"['SF712', 'SF711', 'SM804', 'SF806', 'SM806', 'SF802', 'SF708', 'SF709', 'SM803', 'SF803']"
343,2017-08-15,"['SF712', 'SF711', 'SF806', 'SF802', 'SF709', 'SF710', 'SF801', 'SF805', 'SF803', 'CF805']"
344,2017-08-16,"['SF712', 'SF711', 'SF802', 'SF806', 'SF710', 'SF709', 'SF801', 'SF805', 'SF803', 'LR709']"
345,2017-08-17,"['SF712', 'SF711', 'SF710', 'SF802', 'SF806', 'SF709', 'SF801', 'SM803', 'SF805', 'SF803']"
346,2017-08-18,"['SF712', 'SF711', 'SF710', 'SM806', 'SF802', 'SF709', 'SF806', 'SF801', 'SF805', 'SM803']"
347,2017-08-21,"['SF712', 'SF711', 'SF710', 'SM806', 'SF709', 'SF802', 'SF806', 'SF801', 'SF805', 'SM803']"
348,2017-08-22,"['SF712', 'SF711', 'SF710', 'SF709', 'SF802', 'SF806', 'SF801', 'SF805', 'SM803', 'SM804']"
349,2017-08-23,"['SF712', 'SF711', 'SF710', 'SF709', 'SF801', 'SF806', 'SF802', 'SF805', 'SM803', 'SM804']"
350,2017-08-24,"['SF712', 'SF711', 'SF710', 'SF709', 'SF801', 'SF806', 'SF802', 'SF805', 'SF803', 'SM804']"
351,2017-08-25,"['SF712', 'SF711', 'SF710', 'SF709', 'SF801', 'SF806', 'SF802', 'SF805', 'SM806', 'SF803']"
352,2017-08-28,"['SF712', 'SF711', 'SF710', 'SF709', 'SF801', 'SF806', 'SF802', 'SF803', 'SM806', 'CF711']"
353,2017-08-29,"['SM803', 'SM805', 'SM801', 'SM802', 'SR801', 'SR711', 'SR709', 'OI805', 'MA803', 'OI801']"
354,2017-08-30,"['SM801', 'SM805', 'CF709', 'SR709', 'SR801', 'SR711', 'MA803', 'MA804', 'MA805', 'MA806']"
355,2017-08-31,"['SR709', 'SR801', 'MA803', 'MA802', 'MA804', 'MA805', 'MA806', 'MA801', 'MA712', 'MA709']"
356,2017-09-01,"['MA802', 'MA803', 'MA801', 'MA807', 'MA712', 'MA804', 'MA805', 'MA709', 'MA806', 'MA711']"
357,2017-09-04,"['MA709', 'MA801', 'MA804', 'MA805', 'MA807', 'MA712', 'MA802', 'MA803', 'MA711', 'OI805']"
358,2017-09-05,"['SR709', 'MA709', 'MA801', 'MA711', 'MA804', 'MA807', 'MA712', 'MA802', 'OI805', 'MA805']"
359,2017-09-06,"['SR709', 'CF807', 'MA709', 'MA801', 'MA711', 'OI805', 'MA712', 'MA804', 'MA807', 'MA802']"
360,2017-09-07,"['CF807', 'SR709', 'CF805', 'CF801', 'CF803', 'MA709', 'CF711', 'MA801', 'MA711', 'MA712']"
361,2017-09-08,"['CF807', 'CF711', 'CF805', 'CF801', 'CF803', 'MA710', 'OI803', 'OI711', 'RI711', 'WH805']"
362,2017-09-11,"['MA710', 'WH805', 'ZC712', 'ZC802', 'ZC801', 'ZC803', 'ZC711', 'ZC805', 'ZC807', 'WH807']"
363,2017-09-12,"['ZC801', 'ZC802', 'ZC712', 'ZC803', 'ZC711', 'ZC807', 'ZC805', 'WH807', 'WH711']"
364,2017-09-13,"['MA709', 'MA711', 'MA801', 'MA712', 'ZC801', 'ZC802', 'ZC712', 'ZC803', 'ZC711', 'ZC805']"
365,2017-09-14,"['MA709', 'MA711', 'MA801', 'MA712', 'TA711', 'TA709', 'ZC801', 'ZC802', 'ZC803', 'ZC711']"
366,2017-09-15,"['MA712', 'ZC801', 'ZC802', 'ZC803', 'ZC711', 'ZC805', 'ZC807', 'LR803', 'LR711', 'LR805']"
367,2017-09-18,"['ZC802', 'ZC803', 'ZC807', 'LR803', 'LR711', 'LR805', 'LR807', 'LR801', 'RM803', 'RM805']"
368,2017-09-19,"['RI711', 'RI803', 'RI807', 'LR803', 'LR711', 'LR805', 'LR807', 'LR801', 'RM803', 'RM805']"
369,2017-09-20,"['RI711', 'RI803', 'SM710', 'RI807', 'ZC801', 'ZC802', 'ZC712', 'ZC805', 'ZC710', 'RM805']"
370,2017-09-21,"['CF807', 'CF805', 'CF803', 'RI711', 'RI803', 'SM710', 'RI807', 'ZC801', 'ZC802', 'ZC710']"
371,2017-09-22,"['RI711', 'RI803', 'RI807', 'RM805', 'RM711', 'RM803', 'RM807', 'RM801', 'RI801']"
372,2017-09-25,"['RI711', 'RI803', 'RM711', 'RM805', 'RM803', 'RM807', 'RM801', 'RI801', 'RS711']"
373,2017-09-26,"['RI803', 'RM711', 'RM805', 'RM807', 'RM803', 'RM801', 'RI801', 'RS711']"
374,2017-09-27,"['LR803', 'LR801', 'LR711', 'LR805', 'LR807', 'RM711', 'RM805', 'WH807', 'RM807', 'RM803']"
375,2017-09-28,"['LR803', 'LR801', 'LR711', 'LR805', 'LR807', 'RS711', 'RM711', 'RM805', 'WH807', 'RM807']"
376,2017-09-29,"['LR803', 'LR801', 'LR711', 'LR805', 'LR807', 'WH807', 'ZC710', 'SF804', 'SF803']"
377,2017-10-09,"['LR803', 'LR801', 'LR711', 'LR805', 'LR807', 'RI807', 'RI801', 'RS807', 'FG711']"
378,2017-10-10,['FG711']
379,2017-10-11,"['RM711', 'FG711', 'FG802', 'SF803', 'SF802', 'SF801', 'SF710', 'SF711', 'SF712']"
380,2017-10-12,"['RM711', 'RM805', 'RM801', 'RM803', 'RM807', 'RM808', 'FG711', 'FG710', 'FG712', 'FG802']"
381,2017-10-13,"['RM803', 'RM808', 'FG710', 'FG712', 'FG801', 'FG802', 'FG806', 'FG803', 'FG807', 'FG804']"
382,2017-10-16,"['RM801', 'RM805', 'RM803', 'RM807', 'RM808', 'FG710', 'FG712', 'FG801', 'FG802', 'FG803']"
383,2017-10-17,"['CY804', 'RM801', 'RM711', 'RM805', 'RM803', 'RM808', 'FG710', 'RM807', 'FG712', 'SF803']"
384,2017-10-18,"['CY804', 'RM801', 'FG710', 'RM805', 'RM711', 'RM803', 'RM808', 'RM807', 'FG712', 'FG802']"
385,2017-10-19,"['CY804', 'SF803', 'FG710', 'RM801', 'RM805', 'RM808', 'FG712', 'SR801', 'FG802', 'FG801']"
386,2017-10-20,"['SF803', 'RM801', 'RM808', 'FG711', 'SF804', 'JR711', 'JR801', 'JR805', 'TA806', 'TA805']"
387,2017-10-23,"['SF803', 'FG711', 'FG801', 'FG802', 'FG803', 'FG804', 'FG805', 'FG806', 'FG807', 'ZC806']"
388,2017-10-24,"['SF803', 'SF804', 'FG711', 'FG801', 'FG805', 'ZC711', 'SF801', 'FG807', 'FG808', 'SF808']"
389,2017-10-25,"['CY804', 'SF803', 'SF801', 'SF808', 'SF807', 'SF806', 'SR801', 'SF802', 'SF805', 'SF804']"
390,2017-10-26,"['SF803', 'CY804', 'SF801', 'SF808', 'SF807', 'SF806', 'SF805', 'SF802', 'SR801', 'SR803']"
391,2017-10-27,"['SF803', 'SF801', 'SF807', 'SF806', 'SF808', 'SF802', 'SF805', 'SR801', 'SR803', 'FG712']"
392,2017-10-30,"['SF803', 'SF801', 'SF802', 'SF806', 'SF807', 'SF808', 'SF805', 'SR801', 'SF712', 'SF711']"
393,2017-10-31,"['SF802', 'SF712', 'SF711', 'SR801', 'SM804', 'SR803', 'OI805', 'OI801', 'OI803', 'TA807']"
394,2017-11-01,"['SF712', 'SF711', 'SR803', 'OI803', 'TA806', 'JR803', 'SR805', 'SM802', 'SM803', 'SR809']"
395,2017-11-02,"['SF808', 'SF807', 'SF806', 'SF805', 'SF712', 'SF711', 'SM803', 'SM802', 'SR805', 'TA808']"
396,2017-11-03,"['SF808', 'SF807', 'SF806', 'SF712', 'SF711', 'SF805', 'SM804', 'SM803', 'SM802', 'SM807']"
397,2017-11-06,"['SF807', 'SF806', 'SF808', 'SF805', 'SM803', 'SM804', 'SM802', 'SM807', 'SM808', 'OI807']"
398,2017-11-07,"['SF803', 'SF712', 'SF711', 'SF807', 'SF806', 'SF801', 'SF802', 'SF805', 'SM807', 'SM803']"
399,2017-11-08,"['SF803', 'SF712', 'SF711', 'SF806', 'SF807', 'SF802', 'SF801', 'SF805', 'SM807', 'SM803']"
400,2017-11-09,"['SF712', 'SF711', 'SF807', 'SF806', 'SF802', 'SF808', 'SF805', 'SF801', 'SM807', 'SF809']"
401,2017-11-10,"['SF712', 'SF711', 'SF807', 'SF806', 'SF802', 'SF808', 'SF805', 'SF809', 'SM803', 'SM802']"
402,2017-11-13,"['SF712', 'SF711', 'SR801', 'SR803', 'SR807', 'OI711', 'TA806', 'TA809', 'TA805', 'TA808']"
403,2017-11-14,"['SF712', 'SF711', 'SR801', 'SR803', 'TA802', 'TA806', 'TA809', 'TA808', 'TA805', 'TA804']"
404,2017-11-15,"['SF712', 'SM807', 'SM808', 'SM803', 'SM802', 'SM806', 'TA802', 'TA801', 'TA809', 'TA808']"
